Ticket,Open Time,Type,Volume,Symbol,Open Price,S / L,T / P,Close Time,Close Price,Commission,Taxes,Swap,Profit
78270455,2022.09.16 19:32:56,buy,1,BITCOIN,19556.98,0,0,2022.09.16 19:36:06,19478.66,0,0,0,-78.32
78270710,2022.09.16 19:39:24,buy,1,GOLD,1672.98,0,0,2022.09.16 19:40:50,1673.13,0,0,0,15
78270746,2022.09.16 19:40:33,sell,1,USDCAD,1.32875,0,0,2022.09.16 19:44:24,1.32849,0,0,0,19.57
78270827,2022.09.16 19:43:20,sell,1,USDCAD,1.32859,0,0,2022.09.16 19:49:16,1.32805,0,0,0,40.66
78270838,2022.09.16 19:43:56,sell,1,USDCAD,1.32843,0,0,2022.09.16 19:49:45,1.32779,0,0,0,48.2
78270788,2022.09.16 19:42:28,sell,1,BITCOIN,19526.02,0,0,2022.09.16 20:06:33,19491.92,0,0,0,34.1
78270585,2022.09.16 19:35:21,sell limit,0.5,BITCOIN,20149.12,0,0,2022.09.16 20:11:40,19414.11,cancelled,,,
78270643,2022.09.16 19:36:46,buy limit,1,EURUSD,1,0,0,2022.09.16 20:11:42,1.00066,cancelled,,,
78272503,2022.09.16 20:50:10,buy,1,EURUSD,0.99995,0,0,2022.09.16 22:04:04,1.00085,0,0,0,90
78272530,2022.09.16 20:51:15,sell,1,USDCAD,1.32943,0,0,2022.09.16 22:04:05,1.32784,0,0,0,119.74
78272673,2022.09.16 20:56:01,sell,1,USDCAD,1.32952,0,0,2022.09.16 22:04:06,1.32785,0,0,0,125.77
78271676,2022.09.16 20:11:10,sell,1,USDCAD,1.32828,0,0,2022.09.16 22:04:08,1.32786,0,0,0,31.63
78271028,2022.09.16 19:50:08,sell,1,USDCAD,1.32768,0,0,2022.09.16 22:04:15,1.32779,0,0,0,-8.28
78278612,2022.09.17 23:36:30,sell,0.5,BITCOIN,20050.67,0,0,2022.09.18 03:25:55,19998.66,0,0,-5.58,26.01
78278615,2022.09.17 23:38:05,sell,1,ETHEREUM,1461.45,0,0,2022.09.18 03:26:26,1454.15,0,0,-0.81,7.3
78315994,2022.09.19 19:17:22,sell,1,BITCOIN,19154.54,0,0,2022.09.19 20:34:53,19007.94,0,0,0,146.6
78315312,2022.09.19 19:02:16,sell,1,BITCOIN,19097.65,0,0,2022.09.19 20:34:54,19008.54,0,0,0,89.11
78315316,2022.09.19 19:02:33,sell,1,ETHEREUM,1340.09,0,0,2022.09.19 20:40:00,1326.49,0,0,0,13.6
78315361,2022.09.19 19:04:17,sell,1,EURUSD,1.00034,0,0,2022.09.19 20:40:01,1.00046,0,0,0,-12
78370813,2022.09.20 22:25:32,buy,1,EURUSD,0.99672,0,0,2022.09.20 22:39:47,0.99726,0,0,0,54
78430895,2022.09.21 23:21:10,buy,1,EURUSD,0.98459,0,0,2022.09.21 23:22:55,0.98462,0,0,0,3
78430994,2022.09.21 23:26:27,buy,1,GBPUSD,1.12769,0,0,2022.09.21 23:27:51,1.1281,0,0,0,41
78431061,2022.09.21 23:28:00,buy,1,GBPUSD,1.12856,0,0,2022.09.21 23:28:53,1.12881,0,0,0,25
78431072,2022.09.21 23:28:31,buy,1,GBPUSD,1.12878,0,0,2022.09.21 23:29:04,1.12911,0,0,0,33
78431366,2022.09.21 23:35:09,buy,1,EURUSD,0.98454,0,0.985,2022.09.23 03:53:01,0.98428,0,0,-13.14,-26
78492888,2022.09.23 04:07:00,buy,1,GBPUSD,1.12619,0,0,2022.09.23 04:13:33,1.12639,0,0,0,20
78492813,2022.09.23 04:01:01,buy,1,GBPUSD,1.12638,0,1.13,2022.09.23 04:17:17,1.12643,0,0,0,5
78492659,2022.09.23 03:54:57,sell,0.5,BITCOIN,19302.73,0,19250,2022.09.23 10:56:48,19249.9,0,0,0,26.42
78528366,2022.09.23 19:50:04,sell,2.5,USDCAD,1.35785,1.35806,1.35476,2022.09.23 20:07:56,1.35808,0,0,0,-42.34
78528933,2022.09.23 20:11:30,buy,1,GBPUSD,1.08914,1.08809,1.08998,2022.09.23 20:14:40,1.09,0,0,0,86
78528836,2022.09.23 20:07:30,buy,2,GBPUSD,1.09013,1.0882,1.0927,2022.09.23 20:38:56,1.0882,0,0,0,-386
78528750,2022.09.23 20:04:18,buy,2,EURUSD,0.97122,0.97008,0.97338,2022.09.23 20:39:08,0.97006,0,0,0,-232
78528907,2022.09.23 20:10:49,buy,2.5,EURUSD,0.97097,0.96972,0.97304,2022.09.23 20:39:09,0.96968,0,0,0,-322.5
78531320,2022.09.23 21:53:08,sell,2.3,USDCAD,1.35931,1.36067,1.3583,2022.09.23 21:56:36,1.36067,0,0,0,-229.89
78531352,2022.09.23 21:54:19,buy,1,GOLD,1642.65,1641.21,1643.61,2022.09.23 21:58:08,1640.7,0,0,0,-195
78531403,2022.09.23 21:55:46,buy,2,GBPUSD,1.08487,0,1.08569,2022.09.23 22:03:47,1.08572,0,0,0,170
78531273,2022.09.23 21:51:47,buy,1.7,EURUSD,0.96798,0.96627,0.96866,2022.09.23 22:08:20,0.96868,0,0,0,119
78534411,2022.09.24 07:02:14,sell,0.05,BITCOIN,19117.94,0,19054.03,2022.09.24 10:08:50,19053.93,0,0,0,3.2
78538625,2022.09.25 19:46:32,sell,1,BITCOIN,19029.36,19222.11,18926.01,2022.09.25 20:01:39,18925.72,0,0,0,103.64
78582381,2022.09.26 17:43:06,sell,1,BITCOIN,19138.89,19342.89,19043.61,2022.09.26 18:32:01,19040.2,0,0,0,98.69
78371307,2022.09.20 22:40:37,sell,1,USDCAD,1.33579,0,1.37,2022.09.30 16:59:13,1.36999,0,0,-10.47,-2496.37
78430978,2022.09.21 23:25:45,sell,1,USDCAD,1.34567,0,1.37,2022.09.30 16:59:13,1.36999,0,0,-10.77,-1775.2
78431139,2022.09.21 23:30:47,buy,1,GBPUSD,1.12808,0,1.12,2022.10.03 08:45:48,1.12,0,0,-72.62,-808
